,genes,logFC,AveExpr,t,P.Value,adj.P.Val,B
AC026271.3,AC026271.3,11.83810388,13.34323194,93.20559766,0.982308058,0.999417422,-6.981024507
MAP1LC3C,MAP1LC3C,0.939146111,9.359465809,-21.5380947,0.999417422,0.999417422,-7.167588643
ATF3,ATF3,-1.116025383,14.42656355,-18.02072108,0.999417422,0.999417422,-7.24090971
AC107959.1,AC107959.1,4.185405027,5.223160143,-83.47341868,0.703164149,0.999417422,-4.267500045
BLACAT1,BLACAT1,-6.372779022,-2.95205508,43.65548711,0.786016422,0.999417422,-8.094864126
AC026471.4,AC026471.4,4.993009035,-6.804496029,-18.03794104,0.999417422,0.722850596,-6.057418153
C2,C2,7.878610554,11.58038076,-54.92383556,0.999417422,0.999417422,-6.827808455
ZDHHC16,ZDHHC16,13.41386314,-0.58106774,74.7619285,0.999417422,0.999417422,-7.95956818
DHRS7B,DHRS7B,3.026207305,8.693597983,48.11926608,0.999417422,0.999417422,-6.170876243
ELOBP2,ELOBP2,7.923408359,13.22619552,-52.54082062,0.999417422,0.936648098,-7.728144618
AP002373.2,AP002373.2,-0.076327709,9.433314387,70.53688099,0.999417422,0.999417422,-7.874796831
ZIM2,ZIM2,13.28094356,-2.965464938,41.03735318,0.999417422,0.999417422,-7.832476062
FBXL2,FBXL2,-7.844047425,17.07081619,71.61496987,0.999417422,0.994844988,-7.017652
HIC1,HIC1,14.95093344,-1.329925816,38.38231705,0.974294963,0.999417422,-6.856558609
AC062029.1,AC062029.1,10.77046501,9.326221302,20.92532481,0.999417422,0.258309257,-5.908382643
AL035413.1,AL035413.1,-3.238531426,-3.981165272,-28.47323236,0.999417422,0.999417422,-7.140429617
SIGLEC11,SIGLEC11,-11.05378496,-1.570099419,-87.76712731,0.999417422,0.999417422,-7.900441004
AC119674.2,AC119674.2,-9.972302214,8.376406313,13.43015554,0.999417422,0.876274222,-4.691151092
MDFIC,MDFIC,14.7828476,-5.447847003,16.19786721,0.999417422,0.999417422,-6.679022749
HSD17B7,HSD17B7,10.96854396,19.75487893,-60.40662306,0.999417422,0.999417422,-8.195559358
NDST2,NDST2,-14.90596063,-5.48693567,-78.56400549,0.905562985,0.933963932,-6.039747915
USP51,USP51,8.037761413,18.02650331,18.22342922,0.964303788,0.999417422,-7.570160711
CAMK2D,CAMK2D,-3.913012049,-13.32953474,31.21747328,0.83470924,0.999417422,-6.601455136
EPN2,EPN2,-13.72240608,-11.54618345,6.315903288,0.942658548,0.999417422,-7.011423167
TEDC2,TEDC2,-2.10292612,9.771446383,-76.04277006,0.999417422,0.999417422,-7.795185986
AMER2,AMER2,0.847941536,-7.130000477,38.17144366,0.905562985,0.979948884,-7.688583055
TMEM185AP1,TMEM185AP1,12.9119727,9.699414553,2.387170663,0.999417422,0.999417422,-6.835119109
MIR526B,MIR526B,11.01619711,15.2854432,91.35317862,0.999417422,0.999417422,-8.023916518
HSPA12B,HSPA12B,10.88351386,18.52857375,50.21697541,0.999417422,0.999417422,-6.860232991
AC073410.1,AC073410.1,12.00577255,5.897438525,7.108312981,0.808674475,0.999417422,-5.820810601
AL031595.3,AL031595.3,-8.98739784,17.76265262,-72.63992357,0.999417422,0.913859321,-7.370836361
AC012066.1,AC012066.1,-12.35500051,12.43595443,-46.57670677,0.371318022,0.946245899,-7.244994045
KMT5C,KMT5C,4.27787383,5.773334922,8.11816464,0.673883783,0.999417422,-7.157906001
NDUFS8,NDUFS8,3.935735672,13.63095353,92.52354962,0.999417422,0.765495745,-6.576091289
GNG12-AS1,GNG12-AS1,-15.01835174,-13.18005094,70.87096608,0.999417422,0.999417422,-6.848850269
TMEM119,TMEM119,-5.386473318,-11.90268038,89.78910413,0.997256012,0.77544551,-7.901023152
AP002433.2,AP002433.2,12.83375989,-11.11167057,2.281204119,0.826709437,0.999417422,-7.872091426
ST8SIA6,ST8SIA6,11.93293093,-10.09315876,-6.254002873,0.999417422,0.999417422,-6.507485507
LINC01007,LINC01007,-9.406789352,9.755674468,57.66078157,0.946245899,0.705351175,-6.826078913
AC141586.4,AC141586.4,-0.11830692,-0.837155548,34.7543763,0.848386466,0.968403886,-6.395147936
AFAP1L2,AFAP1L2,1.049350689,9.776179156,18.00111252,0.611387555,0.999417422,-7.595094541
OSBPL7,OSBPL7,4.020904055,-5.859520552,75.08711662,0.999417422,0.999417422,-7.003951485
NFYC,NFYC,-1.028680727,15.46614608,-25.76283291,0.999417422,0.999417422,-6.873424817
TTC28-AS1,TTC28-AS1,-5.056000306,6.280577207,-7.545571901,0.950199051,0.999417422,-7.53071834
AC027796.4,AC027796.4,11.0493248,3.78399206,90.35350831,0.999417422,0.999417422,-3.984712372
SLC4A1APP1,SLC4A1APP1,14.05048044,5.345381832,0.407747719,0.997256012,0.997256012,-7.264245013
AC011603.2,AC011603.2,4.354629671,3.812649852,35.22249758,0.999417422,0.515585523,-8.076535494
AL158163.1,AL158163.1,15.00494622,-1.961236147,-41.96566562,0.942924165,0.720160598,-7.839739699
KLHL2P1,KLHL2P1,1.200223355,-11.84426393,-68.14311897,0.999266259,0.999417422,-6.94185216
TSEN15,TSEN15,-9.061900621,-10.57389439,94.42741741,0.999417422,0.873492614,-7.646284057
AL162586.1,AL162586.1,2.950153294,-6.545832056,-2.05056117,0.131155691,0.999417422,-7.917962319
XCL1,XCL1,12.86437531,-4.161517803,13.14883048,0.999417422,0.999417422,-7.209468448
FAM91A1,FAM91A1,-12.39965998,7.186287562,-77.36895243,0.999417422,0.999417422,-7.168346187
E2F6,E2F6,12.42561623,0.137336562,88.0298224,0.999800608,0.999800608,-7.730552394
SRXN1,SRXN1,13.96295808,9.700172386,14.01495658,0.999417422,0.999417422,-7.79440209
ZNF229,ZNF229,6.904623344,12.88294407,26.46062094,0.999417422,0.996118223,-8.135207467
SECTM1,SECTM1,-2.951955679,-15.18905913,-31.86482794,0.999417422,0.999417422,-5.848067248
AC109486.1,AC109486.1,13.00173068,-9.743661504,-99.97731763,0.999417422,0.999417422,-8.085190877
SEMA5B,SEMA5B,7.680988904,1.043680705,-63.2022857,0.999417422,0.997485715,-6.063982
AURKC,AURKC,-6.930521548,-10.15050017,85.72099927,0.999417422,0.973452,-7.41006819
DNAJC27-AS1,DNAJC27-AS1,3.366075987,10.16325896,84.12581482,0.974294963,0.674543646,-7.758236912
OR2A9P,OR2A9P,12.94504018,7.753887635,67.67000202,0.999417422,0.999417422,-7.251922949
SYTL1,SYTL1,14.35061235,-5.102053914,-62.03073312,0.98700787,0.410195495,-6.691181601
CAMK1D,CAMK1D,10.23979848,8.683804148,-56.17015326,0.999417422,0.476311872,-3.105836429
SPRY2,SPRY2,6.007313088,5.170789649,-9.818703781,0.974294963,0.999417422,-6.657064202
S100A8,S100A8,9.708177823,-3.276707944,-88.88751323,0.999417422,0.999417422,-6.746804274
AC132872.3,AC132872.3,14.95665335,-4.429410465,-2.279459541,0.410195495,0.999417422,-6.919076963
CAB39L,CAB39L,-4.268744045,9.179296533,-87.08535298,0.591013253,0.999417422,-7.210276412
AL117379.1,AL117379.1,-13.09817813,7.431569719,-26.4443194,0.93574385,0.715713753,-7.104998174
ZNF684,ZNF684,2.975968121,13.62228683,90.81860946,0.674982274,0.998428233,-7.147451717
SUGT1P3,SUGT1P3,2.008699659,13.83744103,82.0951323,0.996118223,0.974294963,-7.734210794
RPLP0P2,RPLP0P2,-8.110644506,-5.438644638,-76.24375519,0.959279179,0.999417422,-6.715724814
ARPC1B,ARPC1B,13.81004914,-9.647204379,-97.71852159,0.435020105,0.999417422,-6.199257482
ZBED5-AS1,ZBED5-AS1,4.826933137,16.88744605,35.73403353,0.999417422,0.999417422,-7.191351561
Z68871.1,Z68871.1,4.886672201,-11.36257166,98.20197985,0.996118223,0.996118223,-7.572497645
DEDD,DEDD,-14.95919076,-2.37395214,37.83321649,0.806577322,0.933963932,-7.847266524
SMIM9,SMIM9,9.905529658,-12.16326433,97.57179302,0.93574385,0.999417422,-7.137527008
PDXK,PDXK,11.09795187,14.77496269,10.50767708,0.95758307,0.996351788,-4.963724918
UROD,UROD,13.0249096,5.250380791,42.24266849,0.925437477,0.999417422,-7.234917553
MAP2,MAP2,10.91508333,5.558256214,-19.39206196,0.999417422,0.48898914,-7.592811842
ARHGAP44,ARHGAP44,1.733927783,0.426796911,-66.9982587,0.999417422,0.999417422,-6.605472607
GPR17,GPR17,-10.36949579,9.225205647,-55.39895596,0.999417422,0.993336716,-7.535435408
ZNF853,ZNF853,8.940704433,-6.922784928,-32.55717357,0.502499375,0.880091585,-6.804857313
AC145138.1,AC145138.1,-7.147144292,-4.223018746,-67.35909964,0.999417422,0.997256012,-6.249621677
LYSMD1,LYSMD1,6.964481794,3.629619142,58.85422174,0.999417422,0.590607271,-8.197587697
HAUS4,HAUS4,-6.026868468,17.67812668,46.39551283,0.999417422,0.418973204,-8.045734475
CBX3P9,CBX3P9,-2.050605957,12.5954072,61.56327185,0.991945944,0.999417422,-6.886263938
AC012181.1,AC012181.1,-0.908026889,18.28745608,-56.27199874,0.999417422,0.999417422,-6.809144292
NIPAL2,NIPAL2,-13.04694199,22.08278542,18.16098886,0.999417422,0.786748407,-8.076665292
SOX12,SOX12,-7.057707385,-8.084490089,-33.07009284,0.999417422,0.996118223,-7.407797513
RANBP3L,RANBP3L,6.262660265,11.2654392,49.06127637,0.968403886,0.968403886,-6.562458468
SNAPC4,SNAPC4,12.7934034,-15.78406955,-37.63850872,0.999417422,0.999417422,-8.07932503
IBSP,IBSP,7.811669406,15.98358244,26.69837447,0.999417422,0.999417422,-8.004032614
SPATA9,SPATA9,15.02897945,4.848897102,100.4491416,0.998740123,0.999417422,-7.90465944
RPS6KA4,RPS6KA4,5.015082633,20.3246419,-47.87496231,0.999417422,0.999417422,-8.092758571
UPF3A,UPF3A,-1.082654678,9.313781799,-50.43367133,0.999417422,0.999417422,-7.279250051
RNF19B,RNF19B,6.91349237,12.07428415,16.3046041,0.999417422,0.993995976,-6.983546813
CHIC2,CHIC2,13.99064675,3.808190931,48.83555836,0.999417422,0.999417422,-7.988023344
SWSAP1,SWSAP1,-4.959905146,11.82571869,29.63239499,0.999417422,0.999417422,-6.832089089
EIF3J,EIF3J,-7.817304846,2.323126598,-84.42172481,0.973871735,0.93574385,-7.101609466
SNX16,SNX16,4.95728778,-9.553566978,86.72653999,0.026344467,0.999417422,-7.412013337
AL161772.1,AL161772.1,-1.11484268,8.406308066,-65.88478406,0.515585523,0.999417422,-6.907387076
CCNQ,CCNQ,5.000970986,-8.701989742,10.00482961,0.999417422,0.831853243,-7.550678636
AL596244.1,AL596244.1,-8.681516628,16.45402578,-97.27598478,0.999417422,0.995112214,-7.933955785
AC119427.1,AC119427.1,0.430620891,-5.756482123,-76.12060094,0.996118223,0.999417422,-6.735623926
AC022387.1,AC022387.1,-3.723665,-13.00789332,-66.93867515,0.675455504,0.992599342,-7.19079117
USP11,USP11,2.541616066,3.894776147,-85.921889,0.982160205,0.996118223,-6.952038848
DGKD,DGKD,0.913174227,2.678912911,13.23290809,0.999417422,0.999266259,-7.221339197
LINC01359,LINC01359,2.934325062,4.840224299,75.40326868,0.901880496,0.861692847,-7.645681968
AC064799.2,AC064799.2,-3.970462517,6.743147408,-0.722662788,0.999417422,0.999417422,-6.020458483
AL137782.1,AL137782.1,13.99681442,-10.7474181,61.94189991,0.83505899,0.999417422,-5.513618628
GVINP1,GVINP1,4.768390409,-14.88572636,51.25331174,0.677004231,0.999417422,-6.774995374
AC022726.1,AC022726.1,-10.0775806,15.56379505,27.43003552,0.999417422,0.999417422,-6.395652981
AC011978.2,AC011978.2,-1.061833752,0.524121491,-50.42002354,0.999417422,0.999417422,-7.597486865
AC005840.2,AC005840.2,-6.03732067,-0.308882984,23.85258008,0.931235011,0.999417422,-3.684788692
PRR22,PRR22,11.01581131,-5.52590699,3.097295836,0.95281692,0.999417422,-6.415301139
ALAD,ALAD,-11.08235484,9.2444276,-94.71315985,0.996118223,0.92633687,-4.706748475
SFXN5,SFXN5,5.042832367,-6.928647418,24.11695753,0.996118223,0.999417422,-5.732894663
AC008906.1,AC008906.1,-11.15565244,-6.739327111,-98.16384187,0.999417422,0.996118223,-7.16887358
AC005229.4,AC005229.4,-14.23902894,5.581524901,94.93599997,0.765987663,0.999417422,-7.497522697
RNASEH1-AS1,RNASEH1-AS1,-12.17139412,-5.952839704,8.107656997,0.999417422,0.999417422,-8.117560134
ZNF527,ZNF527,9.985852439,16.90848691,61.66873952,0.999417422,0.633098625,-7.17088732
LRP5L,LRP5L,-4.046225287,7.728779089,34.52945687,0.999417422,0.999417422,-8.111514218
ITFG2-AS1,ITFG2-AS1,-1.090703876,3.661560917,28.94710263,0.673883783,0.996118223,-4.088044761
MICALL2,MICALL2,13.98953395,5.09014214,-33.0961892,0.999417422,0.752620703,-6.766797044
AC104794.2,AC104794.2,5.059629849,-7.564156419,94.82064819,0.938146052,0.999417422,-5.277429082
ITGA9,ITGA9,-5.845113022,-6.381098938,53.86584566,0.967733957,0.663956696,-7.601913727
EXOSC4,EXOSC4,-9.981226721,18.49214765,-40.77407793,0.931831176,0.884957907,-6.473746347
RN7SL577P,RN7SL577P,7.125405316,14.60411712,-10.47027455,0.999417422,0.996118223,-5.348652276
AC015982.1,AC015982.1,-7.814296557,10.82112059,-8.100330712,0.999417422,0.999417422,-5.156133968
ALDH3A2,ALDH3A2,14.62252361,13.80987276,-12.3692373,0.999417422,0.966127521,-8.210455108
WDR54,WDR54,-10.96504158,12.20743448,-91.55459579,0.999417422,0.999417422,-4.473284968
ELOVL6,ELOVL6,-12.00404955,8.304912361,8.95427978,0.996118223,0.999417422,-5.560736247
C3,C3,6.904523206,14.90825377,55.08901455,0.997256012,0.999417422,-7.853150293
VN1R1,VN1R1,8.967064795,1.796694124,-76.27896946,0.998496439,0.997256012,-3.762506559
AC104109.2,AC104109.2,7.800545122,10.13892226,59.14463153,0.999417422,0.999417422,-7.089398568
OCLM,OCLM,6.016115666,-0.72937251,48.05211523,0.996118223,0.931085402,-7.161533884
AC104162.2,AC104162.2,10.94248253,16.97191555,5.603360711,0.999417422,0.999417422,-7.365210291
AL450405.1,AL450405.1,-14.3984162,-15.82019443,-6.600816532,0.999417422,0.996118223,-5.538047543
SKA1,SKA1,-5.286767035,14.57241363,-95.95076401,0.778480158,0.084181227,-7.013996269
LINC01270,LINC01270,-1.071392384,-4.015264627,66.20334839,0.999417422,0.999417422,-6.724546178
ERICH5,ERICH5,13.914747,-6.815297479,-68.64255793,0.999417422,0.885354345,-7.089918885
FAM124A,FAM124A,-11.94106968,17.32851282,-70.0073604,0.996118223,0.999417422,-5.501061891
NR2F1-AS1,NR2F1-AS1,-10.90548787,16.41412827,1.30120231,0.999417422,0.997256012,-6.828596645
PSTPIP1,PSTPIP1,7.028253984,-6.470382836,-50.87378755,0.999417422,0.569837595,-7.575545507
HOXC4,HOXC4,13.02316953,18.04376042,71.29325298,0.946125817,0.999417422,-7.456998666
BRF2,BRF2,-11.04587106,8.507801342,60.29360142,0.999417422,0.999417422,-7.95296264
DNASE1L3,DNASE1L3,11.04093203,9.978355326,89.68747901,0.999417422,0.814101404,-7.449395118
SLCO3A1,SLCO3A1,3.991943621,10.31546666,-74.09659759,0.999417422,0.999417422,-6.416869488
PCYOX1L,PCYOX1L,-14.98467463,-8.479799819,-85.8904454,0.999417422,0.815712478,-6.904437924
PRAF2,PRAF2,15.18732016,-5.546416373,89.36516613,0.913859321,0.999417422,-7.021829056
PMS2P7,PMS2P7,-8.005911484,15.4467155,-28.03982074,0.999417422,0.969808027,-8.17730065
RNU7-80P,RNU7-80P,13.14456257,-3.727153546,-1.242419787,0.996118223,0.999417422,-7.111496812
AL445686.2,AL445686.2,-9.891591613,-12.36566693,89.49691204,0.999417422,0.999417422,-6.286744013
EIF5AL1,EIF5AL1,-14.99642557,-1.573683832,13.03323781,0.712791722,0.999417422,-6.649991729
TTC23,TTC23,-8.999575801,17.500891,32.00151666,0.848766966,0.987856854,-6.230577599
HSD3B2,HSD3B2,-14.91150304,-3.654091776,-49.27448761,0.999417422,0.590242368,-6.926474656
AC020594.1,AC020594.1,2.014587686,0.283749414,-41.93863652,0.999965168,0.83509663,-7.912172968
RPL7P14,RPL7P14,2.960420643,0.415542474,68.51460392,0.999417422,0.999417422,-7.372704305
RPA3,RPA3,-4.234897429,3.848713147,4.904136907,0.990228774,0.999417422,-7.538218488
HERC5,HERC5,6.991971881,4.300366262,-96.06825168,0.999417422,0.996118223,-7.905733326
AC012615.1,AC012615.1,4.821029331,-8.725878542,-30.81826341,0.999417422,0.999417422,-7.605925014
PODNL1,PODNL1,-3.976398744,2.069133008,88.12934304,0.617999837,0.990228774,-5.568261393
CENPB,CENPB,-13.00003935,-8.228606092,-91.00064934,0.999417422,0.999417422,-6.458162245
SMDT1,SMDT1,12.0220571,6.292605185,-78.66072678,0.931377155,0.996118223,-8.20682992
SLC35A1,SLC35A1,-15.08850579,12.44342759,-3.444505001,0.606125557,0.999417422,-7.31412331
RTL1,RTL1,-2.551410785,-15.47198427,-27.30572808,0.999417422,0.997256012,-5.239739581
CA11,CA11,-10.10118488,7.718525257,6.208230543,0.999417422,0.999417422,-7.454274662
AC084357.3,AC084357.3,15.01382293,3.901855434,67.19823208,0.999266259,0.999417422,-8.210556631
FER1L6,FER1L6,-14.96346877,16.94969449,98.6937669,0.898561611,0.999417422,-7.633631502
IBA57,IBA57,0.901356993,4.678597721,16.81051731,0.999417422,0.999417422,-6.534267785
BMS1P12,BMS1P12,-3.439040691,11.64418366,-85.62289633,0.999417422,0.789375662,-7.743320446
OXNAD1,OXNAD1,12.97466192,0.588089202,-40.30588155,0.996118223,0.999417422,-8.220887301
LINC00205,LINC00205,-10.17705796,14.52960336,-12.25847286,0.083662636,0.999417422,-6.936776951
WDFY4,WDFY4,-9.962439363,13.9515287,67.7719136,0.92470664,0.999417422,-7.290673552
ZSWIM3,ZSWIM3,6.186241548,-6.525491396,29.64160252,0.446670763,0.415844829,-7.11722872
AC090907.2,AC090907.2,-5.005571637,14.15929713,-11.10965653,0.999417422,0.999266259,-7.58345615
TRPT1,TRPT1,10.89854062,11.61628917,-15.64490172,0.999417422,0.999417422,-8.074726857
AC069277.1,AC069277.1,2.001339358,13.58521224,28.02085984,0.999417422,0.996118223,-7.44454807
ZSCAN16-AS1,ZSCAN16-AS1,2.948063466,-2.620514912,-82.33110422,0.996118223,0.997256012,-6.989265028
AGAP3,AGAP3,13.94882486,-5.416948906,-97.48924256,0.999417422,0.846670045,-7.856484676
FLJ46906,FLJ46906,2.9312906,3.423970256,-14.85840742,0.999417422,0.623320358,-6.984618987
AL031282.2,AL031282.2,7.093964919,-5.072739799,18.41283297,0.951405859,0.933963932,-5.837023585
MIER3,MIER3,7.991328228,-3.281017929,53.78650659,0.999417422,0.999417422,-6.617336419
RPL7L1P3,RPL7L1P3,4.923695457,0.363210466,37.58989855,0.999417422,0.999417422,-7.780580963
PTK2B,PTK2B,-1.087151104,-10.89285609,99.75560587,0.950199051,0.999417422,-7.197531041
CXXC4,CXXC4,-0.119714597,0.830016856,53.37126226,0.999417422,0.996118223,-7.751317575
AC090004.1,AC090004.1,5.933700383,-10.3575629,21.64277956,0.391675217,0.999417422,-7.318866679
HLA-DRA,HLA-DRA,-11.8610714,-14.19949168,-93.3602414,0.996118223,0.999417422,-7.105952622
TMEM42,TMEM42,-13.07338155,11.58014507,83.41826922,0.999417422,0.999417422,-6.413366089
COIL,COIL,9.054036236,-6.84354416,-50.05406424,0.999417422,0.960891361,-7.357183413
AC004951.2,AC004951.2,12.41453706,-15.82257212,45.1231009,0.999417422,0.999417422,-7.726340739
NLRC4,NLRC4,1.977367362,6.622411359,-95.27069621,0.986255021,0.999417422,-6.673475586
PTRH2,PTRH2,7.792462254,-7.935455899,-63.06924191,0.996118223,0.945044831,-6.84828561
POLR2J,POLR2J,-1.062713257,7.028190241,10.4225076,0.999417422,0.999417422,-7.187928674
SPACA6P-AS,SPACA6P-AS,-2.086734099,8.368306516,-39.24580891,0.999417422,0.996118223,-6.909399084
SNX7,SNX7,-8.173354151,3.797623121,-85.05633281,0.999417422,0.999417422,-7.899287644
PDE8B,PDE8B,-7.980374463,13.07909835,55.10089036,0.999417422,0.999417422,-7.828382024
ZNF433,ZNF433,-4.904540424,4.570759335,83.52240033,0.999417422,0.999417422,-6.989079827
CLEC12A,CLEC12A,8.985414815,-4.762076927,56.78308883,0.021188615,0.766408329,-8.061567351
SALL1,SALL1,-14.08819536,16.40281142,63.18613364,0.999417422,0.982344301,-6.009010913
AL355816.2,AL355816.2,8.00481516,10.57118521,14.11219548,0.999417422,0.93574385,-8.175703905
AC012676.5,AC012676.5,-3.11170313,-9.9379532,37.15011345,0.999417422,0.912870561,-6.398044085
PHC1P1,PHC1P1,8.9180124,3.839093292,-53.31692133,0.999417422,0.974294963,-6.909627186
MORF4,MORF4,14.0139555,-6.893163618,75.06821611,0.76346644,0.905305351,-6.460886788
NBEA,NBEA,7.821773856,0.7663951,-36.21868715,0.650316135,0.999417422,-8.055126662
TMEM64,TMEM64,-11.97683708,3.967242386,36.47381668,0.999417422,0.999417422,-7.480639458
TRAF6P1,TRAF6P1,-2.886111302,4.810479176,-58.1028317,0.999417422,0.999417422,-7.862878235
RN7SKP72,RN7SKP72,-2.889321173,-4.118975255,-64.44967326,0.999417422,0.999417422,-6.525535641
MPP3,MPP3,14.82120014,2.772550666,-38.61069731,0.94368594,0.953646318,-5.418433256
KCNE3,KCNE3,5.913623308,16.0901358,26.19392368,0.999417422,0.999417422,-8.031711119
OVCH2,OVCH2,12.87311636,-7.532205805,-62.19029101,0.996480015,0.999417422,-7.082894416
SDHAF4,SDHAF4,-14.06401068,-0.742122513,-77.38727952,0.999417422,0.999417422,-6.92829696
VSNL1,VSNL1,14.02572489,-6.680965599,87.2102821,0.999417422,0.946245899,-6.79187601
RNLS,RNLS,-1.061056603,-5.751628802,-91.12817699,0.980476868,0.999417422,-7.744385682
FBXL6,FBXL6,11.52600593,9.571935157,-67.28173112,0.999417422,0.950199051,-8.202496048
AL392172.1,AL392172.1,-0.963135671,-0.084800896,-70.90183691,0.999417422,0.804899803,-7.756744685
MAB21L3,MAB21L3,11.966807,-10.27510355,-32.45356915,0.999417422,0.722159387,-6.750465694
LBHD1,LBHD1,-12.23091078,15.00162728,-72.13116331,0.999417422,0.615237535,-8.042353008
POLE3,POLE3,-10.96706993,7.111339485,-44.63909195,0.36690308,0.883871136,-7.421365722
C10orf95,C10orf95,11.03102874,-3.896782022,4.572785333,0.526921222,0.319246165,-5.565073038
KLHDC9,KLHDC9,-8.01032222,15.77211484,-46.0397452,0.999417422,0.996118223,-6.553332047
CC2D2B,CC2D2B,3.80713688,-14.78014461,-85.30782207,0.999417422,0.999417422,-6.777957214
AP001271.1,AP001271.1,-0.072806097,0.043125314,86.02953124,0.996118223,0.974294963,-6.790252028
NR2C2AP,NR2C2AP,7.89818845,-9.343174206,-60.714298,0.77544551,0.686184547,-7.096825796
GPAT3,GPAT3,1.815793569,-8.052686756,-72.29746616,0.999417422,0.990228774,-4.586917702
DDX56,DDX56,3.220998074,11.99948705,-42.55195721,0.999417422,0.852019757,-6.311751857
AC090517.5,AC090517.5,10.81508678,-5.440792529,-39.21906207,0.999417422,0.986174045,-7.811468399
CCDC81,CCDC81,11.92330951,-9.359250826,27.71309511,0.974294963,0.819529004,-7.951053181
STX1A,STX1A,10.00605315,-3.888715707,23.12942388,0.907435125,0.941742259,-7.00307557
ZNF346,ZNF346,-11.22509198,14.83975981,64.1530807,0.997256012,0.939164829,-7.868614337
TM6SF1,TM6SF1,-6.626522101,0.324835168,87.63536281,0.864774919,0.999417422,-4.281445441
RPSAP6,RPSAP6,-4.065423311,5.258348049,-24.34340192,0.999417422,0.996118223,-8.091504458
HRCT1,HRCT1,-9.837332681,10.1182189,83.53316444,0.999417422,0.999417422,-7.936535069
MRPS18B,MRPS18B,13.96801873,8.83190981,62.81305527,0.997256012,0.838677953,-6.786665615
ZNF606,ZNF606,6.847014709,-2.087229219,65.82686553,0.931831176,0.973871735,-7.680252436
AL161785.1,AL161785.1,-5.407630749,8.321900317,80.71170338,0.996118223,0.999417422,-6.426376828
SYNE3,SYNE3,-10.04325342,12.70918118,-21.29325408,0.999417422,0.999417422,-5.99543151
ABCB4,ABCB4,-5.017989831,-3.382037192,92.91873719,0.874551347,0.999417422,-6.783689433
CHST6,CHST6,1.75378757,-4.314724636,-64.67056583,0.999417422,0.997485715,-6.971388004
SPRY4-AS1,SPRY4-AS1,-9.128659837,-7.64338435,-46.15789913,0.999417422,0.999417422,-7.573551277
METTL25,METTL25,-6.875475984,-6.429089448,20.41234139,0.999417422,0.999417422,-8.166598311
LINC02050,LINC02050,12.91681686,19.18393667,8.250761107,0.638891057,0.999417422,-7.994330773
RN7SL653P,RN7SL653P,-7.999176464,18.74164247,61.00607782,0.933010692,0.552255723,-8.185650569
ELP6,ELP6,-3.987631109,11.67994616,30.16561076,0.999417422,0.999417422,-7.276946376
ARHGAP15,ARHGAP15,11.03714379,7.075808737,67.44872562,0.996118223,0.989572905,-7.251798672
MMP28,MMP28,-14.92697575,-1.690922061,-1.571045327,0.999417422,0.705145452,-7.307995948
POM121B,POM121B,4.32013365,9.942523054,-14.1025221,0.968403886,0.999417422,-7.376911616
NQO2,NQO2,-10.96423914,2.587273993,-74.79913716,0.999723996,0.999723996,-7.917084808
TMEM205,TMEM205,9.963467074,-5.530722101,-52.49583727,0.999417422,0.999417422,-6.76347704
WDFY3-AS2,WDFY3-AS2,2.129928868,15.62520525,-91.36997098,0.951461574,0.933010692,-6.738392907
ARSG,ARSG,1.194689181,7.165257958,5.132491776,0.999417422,0.999417422,-7.953665636
RASGRP4,RASGRP4,-11.16755604,10.17325023,74.42681223,0.999417422,0.999417422,-7.124342457
IL21R,IL21R,0.00927897,-7.087270109,-40.79523635,0.999417422,0.999417422,-7.856395488
FO681548.1,FO681548.1,-7.185334532,-1.222145993,-87.69085341,0.999417422,0.999417422,-8.09755381
CTLA4,CTLA4,8.114143186,-6.483405027,-82.46613211,0.999417422,0.999417422,-5.744214164
AC008840.1,AC008840.1,-12.15205509,-8.630932393,-20.8941522,0.999417422,0.974294963,-7.219484145
MIR519D,MIR519D,15.03974745,20.68290323,23.26922769,0.964390297,0.999417422,-8.123880192
AL137186.2,AL137186.2,14.03636214,-10.2621758,96.33297638,0.820649535,0.999417422,-7.752572153
ZNF668,ZNF668,5.954747972,-7.649765988,12.67464271,0.999417422,0.964303788,-7.042111717
AC024075.2,AC024075.2,14.01803301,12.93402544,-61.62192044,0.997256012,2.16E-10,-6.957925385
AC240565.2,AC240565.2,9.179675295,15.35700194,-70.71888186,0.999417422,0.999417422,-7.011096979
AC074138.1,AC074138.1,-3.974214755,19.55476642,-66.7972885,0.996118223,0.999723996,-7.202102766
ANO5,ANO5,9.09382595,7.321003054,45.4846226,0.990139133,0.977162945,-8.035321976
DDIT4L,DDIT4L,-10.06495907,-3.749714631,88.72353504,0.997992834,0.573388044,-7.43689529
FBXO33,FBXO33,-11.89231969,10.84739717,-91.95228872,0.999417422,0.95758307,-7.252937688
AC064836.3,AC064836.3,-10.14475548,9.339442342,88.71336335,0.945044831,0.648208408,-7.972461829
AC008737.1,AC008737.1,-14.0138423,10.11200844,-41.41807734,0.61133324,0.999417422,-6.720511013
AL021707.6,AL021707.6,6.946592561,-2.379647882,-75.89093846,0.824731628,0.999417422,-7.32927922
AC109454.3,AC109454.3,3.092304203,-6.579631733,-30.70518149,0.999417422,0.974294963,-7.05711705
TMEM184A,TMEM184A,15.04629243,16.72201633,-73.26077269,0.999417422,0.335046733,-7.354720584
LYL1,LYL1,0.965309042,5.627565572,-14.17985193,0.634826526,0.974606795,-7.727180162
